game;author;playtime_at_review;timestamp_updated;language;review;votes_up;votes_funny;voted_up;weighted_vote_score;written_during_early_access;steam_purchase;received_for_free
730;76561198803354979;18543;1722395598;brazilian;bom. só as vezes ruim, antcheat ruim, mais o jogo tem seus momentos ;0;0;True;0;False;True;False
730;76561198356068133;150388;1722395422;brazilian;(Y);0;0;True;0;False;True;False
730;76561198072912822;35419;1722391499;brazilian;bão;0;0;True;0;False;True;False
730;76561199536378327;935;1722388083;brazilian;Meio viciante, paia são os manitos trolls, mas de resto.Que joguinho maravilhoso para desestressar.;0;0;True;0;False;True;False
730;76561199227699509;12393;1722386329;brazilian;Bom jogo, porem muitos xitados;1;0;True;0.523809552192687988;False;True;False
730;76561199073205476;25248;1722383445;brazilian;bao;0;0;True;0;False;True;False
730;76561199576404103;2297;1722383421;brazilian;bom;0;0;True;0;False;True;False
730;76561198084805076;76923;1722382909;brazilian;otimo;0;0;True;0;False;True;False
730;76561199701261349;6356;1722376498;brazilian;apesar de muitos hacks o jogo e muito bom;0;0;True;0;False;True;False
730;76561198037528468;44591;1722373620;brazilian;JOGO ABANDONADO  ... VISA SOMENTE SKIN E GRANA ...;0;0;False;0;False;True;False
730;76561199509863989;74009;1722372955;brazilian;melhor jogo do mundo !;0;0;True;0;False;True;False
730;76561198947870343;3146;1722372108;brazilian;top;0;0;True;0;False;True;False
730;76561199688217323;3726;1722371660;brazilian;jogo maravilhoso;1;0;True;0.523809552192687988;False;True;True
730;76561198117016623;114041;1722371084;brazilian;Jogo decepcionante, cheio de hacks, argentinos(a valve acha que argentino e brasileiro é a mesma coisa) calibragem de pontos no premiere não funciona. Enfim, parando de jogar essa merda depois de anos. Não recomendo.;0;0;False;0;False;True;False
730;76561199580197224;3459;1722370169;brazilian;Jogo ótimo, gráficos ótimos, e amo jogar.;0;0;True;0;False;True;False
730;76561199225858490;15925;1722366477;brazilian;jogo muito top;0;0;True;0;False;True;False
730;76561198818774308;35920;1722366384;brazilian;Nice;0;0;True;0;False;True;False
730;76561199697122301;31099;1722360470;brazilian;Good game!;0;0;True;0;False;True;False
730;76561199562719425;5655;1722359246;brazilian;bom;0;0;True;0;False;True;True
730;76561199446653485;12339;1722356412;brazilian;Só tenho uma observação, o modo competitivo poderia ser mais rápido para encontrar partidas, o fato de demorar muito faz com que alguns usuários desistam de jogar o modo, de resto super recomendo jogo e top, gráficos excelentes.;0;0;True;0;False;True;False
730;76561198072464949;4277;1722355132;brazilian;Um clássico sem igual. Merece o lugar que tem.;0;0;True;0;False;True;False
730;76561198150431663;9223;1722350739;brazilian;top game;1;0;True;0.523809552192687988;False;True;False
730;76561198448714591;2604;1722350019;brazilian;top;0;0;True;0;False;True;True
730;76561198368177382;27640;1722347635;brazilian;top top top;0;0;True;0;False;True;False
730;76561198373326632;9936;1722347520;brazilian;Full HACK! ksksks;1;0;True;0.523809552192687988;False;True;False
730;76561199733107783;1749;1722341090;brazilian;- GRÁFICOS🔲 Free FIre🔲 140p🔲 Aceitável✅ Bom🔲 Ótimo🔲 The Witcher 3🔲 Red Dead Redemption II🔲 Cada frame foi pintado por Da Vinci===Requisitos===🔲Qualquer coisa que conduza energia🔲Uma calculadora com 1 pilha🔲Um PC da XUXA✅PC com CPU e GPU muito boas (Galera do Positivo, esquece!)🔲4xRTX2080TI ligadas numa hidroelétrica- HISTÓRIA✅ História? que história?🔲 Tem uma historinha (bem chatinha e infantil mas tem)🔲 Uma história bacana🔲 Uma história digna de prestar atenção🔲 Feita pelo Tolkien ( prepare seus lenços)🔲 Platão escreveu junto com Machado de Assis===Jogabilidade===🔲Precisa de dois dedos pra jogar🔲Aceitável (4 dedos pra ser específico)✅Jogabilidade bacana🔲Jogabilidade excelente===Complexidade===🔲Jogo da velha é mais complexo🔲Fácil de entender🔲Fácil de aprender, difícil de dominar✅É daqueles jogos que as pessoas ficam estudando e continuam ruins🔲Precisa de, no mínimo, 2 doutorados===Tempo de jogo===🔲Da jogar enquanto ouve 1 música🔲6h🔲12h🔲24h🔲48h🔲100h+✅Quanto durar sua paciência🔲Você começa, seu neto termina===Áudio===🔲Beep✅Se quer paz jogue sem vozes🔲Aceitável🔲Muito bom🔲Incrível===Bugs===🔲Nunca vi nenhum🔲Pequenos bugs✅Alguns quando está com Ping muito alto🔲Pode ficar irritante🔲Pode estragar a gameplay===Publico===✅Dolynhos✅Adolescentes misóginos✅Adultos desempregados✅Jogadores usando cheats (Muitos)✅Machistas opressores✅Manitos boludos✅Moradores do porão da mãe que comem maionese✅Narradores chatos estilo Galvão Bueno (So reclama)===Compensa Comprar? ===🔲Preço justo🔲Compre se tiver dinheiro sobrando🔲Espere uma promoção🔲Caro demais não recomendo✅Mais fácil você queimar seu dinheiro;0;0;True;0;False;True;False
730;76561198139622220;1436;1722318147;brazilian;nostalgico;0;0;True;0;False;True;False
730;76561199050534076;1954;1722316870;brazilian;essa porra nao abre direito;0;0;False;0;False;True;False
730;76561198952441356;5152;1722316700;brazilian;please split brazil and argentina players;2;0;False;0.545454561710357666;False;True;False
730;76561199568176760;2204;1722316597;brazilian;jogo bom mas precisa melhorar o anti cheat para uma melhor experiencia;1;0;True;0.523809552192687988;False;True;False
730;76561199168211524;25223;1722316093;brazilian;Jogo de jogabilidade boa, porem, contém muitos cheaters, muitos mesmo. O anti-cheat é péssimo, deixa passar quase todos os cheaters. Conselho: Não pense em baixar, pois ira perder a vontade de joga-lo muito rapidamente.;0;0;False;0;False;True;False
730;76561199732396372;10973;1722314630;brazilian;jogo muito bom que estimula o trabalho em equipe;0;0;True;0;False;True;True
730;76561199444225692;40902;1722311740;brazilian;muito bom jogo;0;0;True;0;False;True;False
730;76561199545830096;16845;1722310162;brazilian;O Jogo é bom mas é ruim ao mesmo tempo, a cada 1 ano sai atualização que preste, para comprar uma faca vc tem que ficar 1 mês só comendo aguá e sem energia, mas pelo menos ela gira, jogo bom para vc também tomar uns xingamentos para dar aquela mootivação no dia, dito isso Read dead 2 é melhor.;0;0;True;0;False;True;False
730;76561199713084196;3728;1722305659;brazilian;MELHOREM O VAC, PMLD;0;0;True;0;False;True;False
730;76561198199017737;40326;1722305551;brazilian;Muito hack jogo ruim;0;0;False;0;False;True;False
730;76561198162352013;4801;1722304618;brazilian;.;0;0;False;0;False;True;False
730;76561199125654698;18404;1722304255;brazilian;jogo de retardado;0;0;True;0;False;True;False
730;76561199248090767;39812;1722303721;brazilian;otima comunidade ninguem nunca vai te ofender exceto eu  voce nunca ira tomar fogo amigo;0;0;True;0;False;True;True
730;76561198100509377;31694;1722302936;brazilian;+/-;0;0;True;0;False;True;False
730;76561199180906418;8445;1722302563;brazilian;Não precisa nem falar que o jogo é foda;0;0;True;0;False;True;True
730;76561199697070369;3379;1722301990;brazilian;Descobri que tenho grande potencial xenofobico, preconceituoso e tudo que há de ruim, perdi totalmente minha sanidade mental e estou cogitando vender meu irmão para comprar skins, recomendo!;0;0;True;0;False;True;False
730;76561199742211494;996;1722300740;brazilian;O melhor;1;0;True;0.523809552192687988;False;True;False
730;76561198421354404;69355;1722299051;brazilian;Muito top , melhor jogo forever;0;0;True;0;False;True;False
730;76561199189506307;9761;1722298825;brazilian;Jogo bom da porra;0;0;True;0;False;True;False
730;76561199536062544;889;1722298132;brazilian;gosto das partidas de competiçao ,e interagir com meus amigos;0;0;True;0;False;True;True
730;76561198319469575;43608;1722296532;brazilian;aSDasdASD;0;0;True;0;False;True;False
730;76561199088853701;9468;1722295355;brazilian;Não tem o que reclamar, os gráficos melhorados novas jogabilidades, mais atualizações vindo. Sinto muita falta do CS:GO mas o Cs2 também é um ótimo caminho.;0;0;True;0;False;True;False
730;76561198817930772;22631;1722294710;brazilian;bao;0;0;True;0;False;True;False
730;76561199493110142;27763;1722294565;brazilian;top;0;0;True;0;False;True;False
730;76561199216513872;3428;1722294493;brazilian;top;0;0;True;0;False;True;False
730;76561199403416517;6616;1722293495;brazilian;vai se lasca eles te fazem pagar 80 reais pra liberar o modo especial que eles dizem ter anti cheat melhorado ai tu joga o modo expecial e so cai contra shiter ai tu denuncia e nao fazem nada muito bonito parabens;0;0;False;0;False;True;True
730;76561199403317640;2999;1722292618;brazilian;jogo bom;0;0;True;0;False;True;False
730;76561199161544271;7691;1722292287;brazilian;horrivel;0;0;False;0;False;True;False
730;76561199131988347;64735;1722291203;brazilian;jogo disgraçado de xiter;0;0;False;0;False;True;False
730;76561198816047843;40707;1722287735;brazilian;Tem mais hack que todos os hacks e cracks de outros games juntos multiplicado pela quantidade de pessoas na china;0;0;False;0;False;True;False
730;76561199180349952;2367;1722281523;brazilian;Foda;0;0;True;0;False;True;False
730;76561199745403537;261;1722280989;brazilian;Epic!!;1;0;True;0.523809552192687988;False;True;False
730;76561198128479326;20698;1722280048;brazilian;43rerwt;0;0;True;0;False;True;False
730;76561199179374985;5439;1722276156;brazilian;Esse jogo me fez odiar ainda mais os argentinos,obrigado valve,sucumba argentinos que jogam cs;0;1;True;0;False;True;False
730;76561199739471634;3127;1722268264;brazilian;melhor jogo;1;0;True;0.523809552192687988;False;True;False
730;76561199391575505;4079;1722267787;brazilian;"Cs é um jogo ótimo, mas se for jogar com aqueles amigos que se acham os ""melhores"", é melhor jogar sozinho ou achar alguém que seja iniciante. Do jeito que é, você pode acabar com um amigo a menos depois da partida.";0;0;True;0;False;True;False
730;76561198360128567;74828;1722264149;brazilian;jgoo bom;0;0;True;0;False;True;False
730;76561198053220309;81981;1722263950;brazilian;Sucessor dos respeitados cs 1.6 e o mais jogando do planeta o cs go, mais vem decaindo com os hacker principalmente a galera da NeverLose, que parece ter parceria com a valve pois não e possível que o anticheat revolucionario dele com AI, só pegue a galera xitada depois de 1000 horas de game, a movimentação do game mudou muito tanbem deixando inviável diversas jogadas criadas no cs go, dano de armas severamente modificados principalmente a da desert eagle e da awp que ficaram mais fracas, molotov e granadas com efeitos tanbem reduzidos. precisam se espelhar mais na mobilidade e mecânica do cs go que so precisava mesmo era de um rework nos gráficos e conteúdos, foram esses compilados de erros , o jogo e bem otimizado e tem muito futuro.;0;0;True;0;False;True;False
730;76561198378098359;29856;1722262668;brazilian;O jogo em si é bom, tem alguns bug aqui/ali, mas creio que seja por ser um jogo novo... o ponto negativo desse jogo são os hacks, quase toda partida competitiva tem um, e até em partidas primes (a gente paga o prime para não ter perigo de cair com hack e lá tá cheio também kkkkk).;0;0;True;0;False;True;False
730;76561198368286328;69191;1722260086;brazilian;recomendo bom jogo;2;0;True;0.545454561710357666;False;True;False
730;76561199575225536;7880;1722250002;brazilian;tiroteio bacana;0;0;True;0;False;True;False
730;76561199574248613;1744;1722247978;brazilian;tudo;0;0;False;0;False;True;False
730;76561199652956273;35388;1722231543;brazilian;um jogo extressante.;0;0;True;0;False;True;False
730;76561199667491792;19129;1722228719;brazilian;ogybuivszdiopbvzdfkljndfb;0;0;True;0;False;True;False
730;76561198821806754;4381;1722228715;brazilian;so good;0;0;True;0;False;True;False
730;76561199710848256;2973;1722227389;brazilian;muito bom;0;0;True;0;False;True;False
730;76561199436136411;16305;1722225113;brazilian;Jogo infestado de hackers e trapaceiros, não percam tempo jogando isso, muito menos percam dinheiro comprando o prime pois não muda nada, na premier o rank inteiro é xitado! é perca de tempo! dica de quem joga percebeu que o game ta extramente podre e abandonado pela valve.;0;0;False;0;False;True;False
730;76561198134291708;18474;1722221036;brazilian;Realmente é um jogo.;0;0;True;0;False;True;False
